age,height (in cm),weight (in kg),no. of uchikomi sessions/week,no. of nagekomi sessions/week,no. of randori sessions/week,avg randori duration (minutes),no. of strength training session/week,training intensity,grip fatigue level,lower body fatigue,breakfall (ukemi) proficiency,no. of competitions played in last 6 months,avg weight cut in kgs,regular ice baths,physio sessions,do you feel exhausted after randori?,do you resist throws instead of falling?,train under coach supervision,weight cuts done?,injury in last 12 months
22,155,84,7,2,4,54,0,7,3,4,10,6,3.1,1,1,0,1,1,1,0
30,180,85,6,2,3,58,5,10,7,7,3,7,7.6,0,0,1,0,0,0,1
26,168,55,6,1,2,44,4,10,9,7,4,6,1.1,0,1,1,0,1,1,1
23,193,67,4,5,2,49,3,2,6,1,3,4,6.1,0,1,0,0,0,1,0
22,188,45,4,2,3,23,0,9,10,6,1,6,0.9,0,0,0,1,0,1,1
34,176,90,1,1,1,44,4,1,1,9,10,12,7.9,1,0,0,0,1,1,0
26,159,65,2,2,2,57,3,10,7,2,5,13,3.1,0,0,1,1,0,0,1
26,175,80,2,3,5,54,2,6,3,3,1,9,6.2,1,1,1,1,1,0,1
19,168,98,4,5,3,29,0,9,5,10,1,2,2.7,1,1,1,1,0,0,1
23,188,101,1,4,3,58,0,1,10,5,2,4,5.0,0,0,1,0,1,1,1
18,152,45,2,2,2,22,2,4,4,9,4,6,1.5,0,1,0,1,0,0,0
17,194,107,1,3,1,47,2,4,10,4,6,14,1.2,0,1,0,0,0,0,0
27,162,98,1,4,5,58,0,9,5,1,8,8,7.5,0,1,0,1,1,0,1
21,177,99,1,4,1,55,2,5,5,4,3,14,7.3,1,0,0,0,0,0,1
17,169,84,5,2,4,58,1,5,6,6,1,1,7.1,0,1,1,1,1,1,1
16,177,59,6,1,4,17,3,6,10,5,3,3,5.0,1,0,1,0,0,1,1
27,157,65,1,2,2,52,3,1,10,1,3,11,6.5,0,0,0,0,0,0,0
27,190,91,5,3,2,29,3,1,6,4,5,6,0.6,0,1,0,0,0,0,0
32,188,97,4,4,2,42,1,9,8,6,4,0,2.7,0,0,0,1,1,0,1
25,150,53,2,2,4,35,2,3,8,10,4,12,2.5,0,1,0,1,1,1,1
31,152,96,6,1,1,48,4,4,9,10,9,1,5.1,1,0,0,0,1,1,0
30,162,101,7,2,1,30,2,1,8,4,7,8,2.8,1,0,1,1,1,1,0
30,177,70,2,5,2,58,0,9,2,9,4,12,1.2,0,1,1,1,1,0,1
34,174,85,6,1,5,51,5,8,10,5,3,9,4.8,1,0,0,1,0,1,1
27,182,79,7,3,1,52,3,2,1,8,6,6,6.5,1,0,0,1,0,1,0
18,187,107,2,4,4,50,2,8,10,9,3,11,3.1,0,0,0,1,1,1,1
20,155,69,6,2,3,18,4,7,2,10,6,9,1.1,0,1,1,1,0,1,1
34,193,82,2,1,3,33,0,6,2,5,9,6,1.6,1,1,1,1,0,1,0
22,194,46,2,5,3,46,1,1,3,6,6,5,1.9,1,0,1,0,0,0,0
24,181,51,7,1,5,58,1,7,10,1,4,2,2.4,1,0,0,0,0,0,0
22,194,78,2,6,2,50,4,10,7,7,5,9,5.1,1,0,1,1,1,0,1
33,170,61,2,5,4,26,0,7,2,4,6,2,4.8,0,1,0,0,0,0,0
19,165,87,7,3,5,33,3,9,1,2,3,1,5.6,0,1,1,0,1,1,0
29,170,103,4,4,4,30,2,1,6,5,8,10,2.9,1,0,1,0,1,0,0
33,160,95,1,3,4,48,0,2,9,3,4,5,6.6,0,1,1,1,0,0,1
24,186,98,3,2,2,50,1,9,3,6,8,3,1.6,1,1,0,1,1,0,0
17,185,68,5,1,3,48,4,9,6,8,10,4,3.8,1,1,0,1,0,1,1
30,184,69,3,6,2,22,4,6,3,7,10,2,6.4,0,1,1,1,0,0,1
22,168,96,3,5,5,20,2,6,1,3,3,5,1.4,1,0,0,1,0,1,0
27,169,77,6,5,5,55,4,4,5,8,10,10,0.9,1,1,0,0,1,1,0
23,167,93,1,1,5,28,4,4,10,2,7,11,7.1,0,1,0,1,1,1,0
30,190,73,6,6,2,20,0,5,4,10,9,2,2.7,0,0,0,0,1,0,0
18,163,107,1,1,4,22,3,3,7,9,4,13,5.5,1,0,0,1,0,1,1
29,164,66,7,2,4,55,2,1,6,4,8,14,0.2,1,1,0,0,0,0,0
32,180,70,7,3,1,54,0,1,10,1,3,13,5.5,0,1,0,1,0,0,1
19,150,72,1,5,5,10,3,7,7,8,7,7,2.5,1,0,1,1,1,0,1
33,152,93,2,2,4,49,0,1,5,7,3,8,0.4,1,0,0,1,0,1,0
23,165,93,4,3,1,53,5,1,4,5,7,3,4.9,0,0,0,1,0,1,0
19,172,64,2,2,4,28,0,3,7,10,10,14,1.9,0,1,1,1,1,0,1
17,160,107,4,6,5,21,4,10,7,5,10,8,3.1,0,1,1,1,1,1,1
21,161,105,6,5,3,17,3,4,6,7,6,11,0.6,0,0,1,0,1,1,1
25,159,93,4,1,5,17,2,4,8,5,2,6,1.2,0,1,1,1,0,1,1
19,181,45,6,1,2,54,2,2,4,8,3,2,2.4,0,0,0,0,0,0,0
33,165,57,7,3,4,21,3,1,10,6,6,6,0.7,1,1,1,1,0,1,0
27,157,95,3,4,4,57,4,3,5,5,4,13,7.3,1,0,1,0,1,1,1
17,187,100,7,6,2,42,1,4,4,9,6,0,0.0,0,0,0,0,1,0,0
25,161,106,7,3,2,54,0,3,1,2,1,2,3.9,0,1,0,0,1,1,0
19,173,76,3,4,3,35,4,8,8,1,10,5,1.0,1,1,0,0,1,0,0
29,177,74,4,2,4,48,5,10,1,8,1,3,2.5,1,1,1,0,0,1,0
31,157,73,4,6,4,37,3,1,5,3,3,6,7.4,1,1,0,0,0,1,0
30,177,93,6,2,3,14,0,2,6,7,8,13,1.3,0,1,1,1,0,1,1
23,185,89,2,5,1,17,2,7,6,10,8,2,7.7,0,1,0,0,0,1,0
29,175,74,6,6,3,34,1,4,5,8,4,0,1.6,1,0,0,1,0,1,0
23,157,60,2,4,5,36,5,8,3,6,6,8,5.9,0,1,1,1,0,1,1
31,177,84,7,5,4,55,2,3,5,10,8,14,4.4,0,0,0,0,0,0,1
28,177,63,3,1,2,32,3,6,8,9,7,5,7.1,0,0,0,0,0,1,1
33,186,62,7,4,5,39,0,9,2,7,7,7,4.4,1,1,0,1,1,1,0
30,190,45,1,3,4,54,3,1,6,10,4,2,4.3,1,0,0,0,1,1,0
28,185,91,4,1,3,56,0,1,9,5,9,7,1.6,0,0,0,0,0,0,0
24,176,82,2,1,5,32,4,8,8,8,10,1,1.3,0,1,1,0,1,0,1
30,166,95,6,3,4,58,1,3,8,2,6,11,7.3,0,1,1,0,0,0,1
